2019-04-08 21:00:48 status unpacked coreutils:arm64 8.28-1ubuntu1
2019-04-08 21:00:48 install dash:arm64 <none> 0.5.8-2.10
2019-04-08 21:00:48 status half-installed dash:arm64 0.5.8-2.10
2019-04-08 21:00:48 status unpacked dash:arm64 0.5.8-2.10
2019-04-08 21:00:48 status unpacked dash:arm64 0.5.8-2.10
2019-04-08 21:00:48 install debconf:all <none> 1.5.66
2019-04-08 21:00:48 status half-installed debconf:all 1.5.66
2019-04-08 21:00:48 status unpacked debconf:all 1.5.66
2019-04-08 21:00:48 status unpacked debconf:all 1.5.66
2019-04-08 21:00:48 install debianutils:arm64 <none> 4.8.4
2019-04-08 21:00:48 status half-installed debianutils:arm64 4.8.4
2019-04-08 21:00:48 status unpacked debianutils:arm64 4.8.4
2019-04-08 21:00:48 status unpacked debianutils:arm64 4.8.4
2019-04-08 21:00:48 install diffutils:arm64 <none> 1:3.6-1
2019-04-08 21:00:48 status half-installed diffutils:arm64 1:3.6-1
2019-04-08 21:00:48 status unpacked diffutils:arm64 1:3.6-1
2019-04-08 21:00:48 status unpacked diffutils:arm64 1:3.6-1
2019-04-08 21:00:48 upgrade dpkg:arm64 1.19.0.5ubuntu2 1.19.0.5ubuntu2
2019-04-08 21:00:48 status half-configured dpkg:arm64 1.19.0.5ubuntu2
2019-04-08 21:00:48 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2019-04-08 21:00:48 status half-installed dpkg:arm64 1.19.0.5ubuntu2
2019-04-08 21:00:48 status half-installed dpkg:arm64 1.19.0.5ubuntu2
2019-04-08 21:00:48 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2019-04-08 21:00:48 status unpacked dpkg:arm64 1.19.0.5ubuntu2
2019-04-08 21:00:48 install e2fsprogs:arm64 <none> 1.44.1-1
2019-04-08 21:00:48 status half-installed e2fsprogs:arm64 1.44.1-1
2019-04-08 21:00:48 status unpacked e2fsprogs:arm64 1.44.1-1
2019-04-08 21:00:48 status unpacked e2fsprogs:arm64 1.44.1-1
2019-04-08 21:00:49 install fdisk:arm64 <none> 2.31.1-0.4ubuntu3
2019-04-08 21:00:49 status half-installed fdisk:arm64 2.31.1-0.4ubuntu3
2019-04-08 21:00:49 status unpacked fdisk:arm64 2.31.1-0.4ubuntu3
2019-04-08 21:00:49 status unpacked fdisk:arm64 2.31.1-0.4ubuntu3
2019-04-08 21:00:49 install findutils:arm64 <none> 4.6.0+git+20170828-2
2019-04-08 21:00:49 status half-installed findutils:arm64 4.6.0+git+20170828-2
2019-04-08 21:00:49 status unpacked findutils:arm64 4.6.0+git+20170828-2
2019-04-08 21:00:49 status unpacked findutils:arm64 4.6.0+git+20170828-2
2019-04-08 21:00:49 install gcc-8-base:arm64 <none> 8-20180414-1ubuntu2
2019-04-08 21:00:49 status half-installed gcc-8-base:arm64 8-20180414-1ubuntu2
2019-04-08 21:00:49 status unpacked gcc-8-base:arm64 8-20180414-1ubuntu2
2019-04-08 21:00:49 status unpacked gcc-8-base:arm64 8-20180414-1ubuntu2
2019-04-08 21:00:49 install grep:arm64 <none> 3.1-2
2019-04-08 21:00:49 status half-installed grep:arm64 3.1-2
2019-04-08 21:00:49 status unpacked grep:arm64 3.1-2
2019-04-08 21:00:49 status unpacked grep:arm64 3.1-2
2019-04-08 21:00:49 install gzip:arm64 <none> 1.6-5ubuntu1
2019-04-08 21:00:49 status half-installed gzip:arm64 1.6-5ubuntu1
2019-04-08 21:00:49 status unpacked gzip:arm64 1.6-5ubuntu1
2019-04-08 21:00:49 status unpacked gzip:arm64 1.6-5ubuntu1
2019-04-08 21:00:49 install hostname:arm64 <none> 3.20
2019-04-08 21:00:49 status half-installed hostname:arm64 3.20
2019-04-08 21:00:49 status unpacked hostname:arm64 3.20
2019-04-08 21:00:49 status unpacked hostname:arm64 3.20
2019-04-08 21:00:49 install init-system-helpers:all <none> 1.51
2019-04-08 21:00:49 status half-installed init-system-helpers:all 1.51
2019-04-08 21:00:49 status unpacked init-system-helpers:all 1.51
2019-04-08 21:00:49 status unpacked init-system-helpers:all 1.51
2019-04-08 21:00:49 install libacl1:arm64 <none> 2.2.52-3build1
2019-04-08 21:00:49 status half-installed libacl1:arm64 2.2.52-3build1
2019-04-08 21:00:49 status unpacked libacl1:arm64 2.2.52-3build1
2019-04-08 21:00:49 status unpacked libacl1:arm64 2.2.52-3build1
2019-04-08 21:00:49 install libattr1:arm64 <none> 1:2.4.47-2build1
2019-04-08 21:00:49 status half-installed libattr1:arm64 1:2.4.47-2build1
2019-04-08 21:00:49 status unpacked libattr1:arm64 1:2.4.47-2build1
2019-04-08 21:00:49 status unpacked libattr1:arm64 1:2.4.47-2build1
2019-04-08 21:00:49 install libaudit-common:all <none> 1:2.8.2-1ubuntu1
2019-04-08 21:00:49 status half-installed libaudit-common:all 1:2.8.2-1ubuntu1
2019-04-08 21:00:49 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2019-04-08 21:00:49 status unpacked libaudit-common:all 1:2.8.2-1ubuntu1
2019-04-08 21:00:49 install libaudit1:arm64 <none> 1:2.8.2-1ubuntu1
2019-04-08 21:00:49 status half-installed libaudit1:arm64 1:2.8.2-1ubuntu1
2019-04-08 21:00:49 status unpacked libaudit1:arm64 1:2.8.2-1ubuntu1
2019-04-08 21:00:49 status unpacked libaudit1:arm64 1:2.8.2-1ubuntu1
2019-04-08 21:00:49 install libblkid1:arm64 <none> 2.31.1-0.4ubuntu3
2019-04-08 21:00:49 status half-installed libblkid1:arm64 2.31.1-0.4ubuntu3
2019-04-08 21:00:49 status unpacked libblkid1:arm64 2.31.1-0.4ubuntu3
2019-04-08 21:00:49 status unpacked libblkid1:arm64 2.31.1-0.4ubuntu3
2019-04-08 21:00:49 install libbz2-1.0:arm64 <none> 1.0.6-8.1
2019-04-08 21:00:49 status half-installed libbz2-1.0:arm64 1.0.6-8.1
2019-04-08 21:00:49 status unpacked libbz2-1.0:arm64 1.0.6-8.1
2019-04-08 21:00:49 status unpacked libbz2-1.0:arm64 1.0.6-8.1
2019-04-08 21:00:49 install libc-bin:arm64 <none> 2.27-3ubuntu1
2019-04-08 21:00:49 status half-installed libc-bin:arm64 2.27-3ubuntu1
2019-04-08 21:00:49 status unpacked libc-bin:arm64 2.27-3ubuntu1
2019-04-08 21:00:49 status unpacked libc-bin:arm64 2.27-3ubuntu1
2019-04-08 21:00:49 upgrade libc6:arm64 2.27-3ubuntu1 2.27-3ubuntu1
2019-04-08 21:00:49 status half-configured libc6:arm64 2.27-3ubuntu1
2019-04-08 21:00:49 status unpacked libc6:arm64 2.27-3ubuntu1
2019-04-08 21:00:49 status half-installed libc6:arm64 2.27-3ubuntu1
2019-04-08 21:00:50 status half-installed libc6:arm64 2.27-3ubuntu1
2019-04-08 21:00:50 status unpacked libc6:arm64 2.27-3ubuntu1
2019-04-08 21:00:50 status unpacked libc6:arm64 2.27-3ubuntu1
2019-04-08 21:00:50 install libcap-ng0:arm64 <none> 0.7.7-3.1
2019-04-08 21:00:50 status half-installed libcap-ng0:arm64 0.7.7-3.1
2019-04-08 21:00:50 status unpacked libcap-ng0:arm64 0.7.7-3.1
2019-04-08 21:00:50 status unpacked libcap-ng0:arm64 0.7.7-3.1
2019-04-08 21:00:50 install libcom-err2:arm64 <none> 1.44.1-1
2019-04-08 21:00:50 status half-installed libcom-err2:arm64 1.44.1-1
2019-04-08 21:00:50 status unpacked libcom-err2:arm64 1.44.1-1
2019-04-08 21:00:50 status unpacked libcom-err2:arm64 1.44.1-1
2019-04-08 21:00:50 install libdb5.3:arm64 <none> 5.3.28-13.1ubuntu1
2019-04-08 21:00:50 status half-installed libdb5.3:arm64 5.3.28-13.1ubuntu1
2019-04-08 21:00:50 status unpacked libdb5.3:arm64 5.3.28-13.1ubuntu1
2019-04-08 21:00:50 status unpacked libdb5.3:arm64 5.3.28-13.1ubuntu1
2019-04-08 21:00:50 install libdebconfclient0:arm64 <none> 0.213ubuntu1
2019-04-08 21:00:50 status half-installed libdebconfclient0:arm64 0.213ubuntu1
2019-04-08 21:00:50 status unpacked libdebconfclient0:arm64 0.213ubuntu1
2019-04-08 21:00:50 status unpacked libdebconfclient0:arm64 0.213ubuntu1
2019-04-08 21:00:50 install libext2fs2:arm64 <none> 1.44.1-1
2019-04-08 21:00:50 status half-installed libext2fs2:arm64 1.44.1-1
2019-04-08 21:00:50 status unpacked libext2fs2:arm64 1.44.1-1
2019-04-08 21:00:50 status unpacked libext2fs2:arm64 1.44.1-1
2019-04-08 21:00:50 install libfdisk1:arm64 <none> 2.31.1-0.4ubuntu3
2019-04-08 21:00:50 status half-installed libfdisk1:arm64 2.31.1-0.4ubuntu3
2019-04-08 21:00:50 status unpacked libfdisk1:arm64 2.31.1-0.4ubuntu3
2019-04-08 21:00:50 status unpacked libfdisk1:arm64 2.31.1-0.4ubuntu3
2019-04-08 21:00:50 install libgcc1:arm64 <none> 1:8-20180414-1ubuntu2
2019-04-08 21:00:50 status half-installed libgcc1:arm64 1:8-20180414-1ubuntu2
2019-04-08 21:00:50 status unpacked libgcc1:arm64 1:8-20180414-1ubuntu2
2019-04-08 21:00:50 status unpacked libgcc1:arm64 1:8-20180414-1ubuntu2
2019-04-08 21:00:50 install libgcrypt20:arm64 <none> 1.8.1-4ubuntu1
2019-04-08 21:00:50 status half-installed libgcrypt20:arm64 1.8.1-4ubuntu1
2019-04-08 21:00:51 status unpacked libgcrypt20:arm64 1.8.1-4ubuntu1
2019-04-08 21:00:51 status unpacked libgcrypt20:arm64 1.8.1-4ubuntu1
